案件ID,提出部門,起案者,提出日,案件区分,案件名,概要,ビジネスメリット定性,要求金額_当年度,実施期間,関連部門,投資総額,想定リターン年額,ROI_pct,NPV,回収期間_年,リターン根拠,軸1_不確実性縮減スコア,軸1_縮減する不確実性の内容,軸2_アップサイドスコア,軸2_アップサイド概要,軸3_検証コスト可逆性スコア,軸4_判断期限,軸4_検証項目_GoNoGo条件,Gate2想定時期,Gate2想定投資規模,本格投資時の想定所管,ゲート判定,オプション枠計上,台帳ID,審査コメント
RA-2026-007,薬事(RA),佐藤,2026-01-15,通常投資,申請文書管理システムのライセンス統合,部門ごとに分散している文書管理ライセンスを全社契約に統合し、単価と管理工数を削減する,契約窓口の一元化、監査対応の統一、更新交渉力の向上,12000000,2026-04〜2026-07,QA、情報システム,12000000,4500000,38%(3年累計),2100000,2.7,現行3契約の単価実績と統合後見積りの差分。ベンダー提示見積りに基づく,,,,,,,,,,,,,,
IS-2026-021,情報システム,田中,2026-01-12,通常投資,基幹サーバのリプレース,保守期限切れの基幹業務サーバを更新し、可用性とサポート継続性を確保する,障害リスク低減、保守サポート継続、消費電力削減,28000000,2026-05〜2026-09,全社,28000000,6000000,21%(5年累計),3400000,4.2,旧機の障害対応実績コストと新機保守費見積りの差分,,,,,,,,,,,,,,
MA-2026-003,メディカル(MA),鈴木,2026-01-18,通常投資,問合せ管理システムの更新,医療情報問合せの管理システムを最新版へ更新し、応答履歴の検索性を向上させる,問合せ応答の品質向上、記録の一元管理、監査対応効率化,8500000,2026-04〜2026-06,薬事,8500000,2800000,31%(3年累計),1200000,3.0,現行運用の月次工数実績と更新後の削減見積り,,,,,,,,,,,,,,
QA-2026-009,品質保証(QA),高橋,2026-01-20,通常投資,品質文書の電子署名基盤導入,紙運用が残る品質文書に電子署名基盤を導入し、承認リードタイムを短縮する,承認時間短縮、紙保管コスト削減、リモート承認対応,9200000,2026-06〜2026-10,情報システム、法務,9200000,3100000,34%(3年累計),1500000,3.0,承認1件あたり所要時間の実測と件数からの削減試算,,,,,,,,,,,,,,
IS-2026-024,情報システム,伊藤,2026-01-10,通常投資,ネットワーク機器の保守契約更改,拠点ネットワーク機器の保守契約を複数拠点一括で更改し、単価を引き下げる,保守単価削減、契約管理の一元化,5400000,2026-04〜2026-04,全社,5400000,1800000,33%(3年累計),900000,3.0,現行拠点別契約の合計と一括更改見積りの差分,,,,,,,,,,,,,,
RA-2026-011,薬事(RA),渡辺,2026-01-22,通常投資,規制情報データベースの契約更新,各国規制情報データベースの購読契約を更新し、最新規制への追随を維持する,規制対応の遅延防止、調査工数削減,6800000,2026-04〜2027-03,メディカル,6800000,2000000,18%(3年累計),700000,3.4,手動調査に要する工数実績とDB利用による削減試算,,,,,,,,,,,,,,
PV-2026-005,安全性(PV),中村,2026-01-14,通常投資,安全性情報管理システムのバージョンアップ,副作用報告管理システムを最新版へ更新し、当局報告フォーマット変更に対応する,報告様式変更への対応、処理速度向上、コンプライアンス維持,15000000,2026-05〜2026-08,薬事、情報システム,15000000,3500000,17%(5年累計),1100000,4.3,更新しない場合の手動対応工数増と更新費用の比較,,,,,,,,,,,,,,
IS-2026-027,情報システム,小林,2026-01-16,通常投資,バックアップ基盤の増強,データ増加に伴いバックアップ基盤の容量と速度を増強し、復旧目標時間を維持する,復旧時間の維持、データ保全、監査要件充足,7200000,2026-06〜2026-08,全社,7200000,1500000,12%(5年累計),400000,4.8,現行復旧時間の実測と増強後の目標達成に基づく損失回避額,,,,,,,,,,,,,,
QA-2026-013,品質保証(QA),加藤,2026-01-19,通常投資,監査管理ツールの導入,内部監査の計画・記録・是正措置管理を一元化するツールを導入する,監査工数削減、是正措置の追跡性向上,6300000,2026-05〜2026-07,全部門,6300000,2400000,38%(3年累計),1300000,2.6,監査1サイクルあたり工数実測とツール導入後の削減見積り,,,,,,,,,,,,,,
MA-2026-006,メディカル(MA),吉田,2026-01-21,通常投資,医療情報コンテンツ管理システム更新,医療従事者向け情報提供コンテンツの管理システムを更新し、公開までのリードタイムを短縮する,公開リードタイム短縮、版管理の厳格化,5800000,2026-04〜2026-06,薬事,5800000,1900000,32%(3年累計),800000,3.1,現行公開フローの所要日数実測と更新後の短縮見積り,,,,,,,,,,,,,,
IS-2026-030,情報システム,山田,2026-01-11,通常投資,EDR(端末検知対応)の全社展開,既存アンチウイルスをEDRへ置き換え、端末のインシデント検知・対応能力を高める,インシデント検知力向上、対応時間短縮、監査要件充足,11000000,2026-04〜2026-07,全社,11000000,2600000,18%(5年累計),900000,4.2,過去インシデント対応コストと想定被害回避額に基づく試算,,,,,,,,,,,,,,
HR-2026-002,人事,松本,2026-01-23,通常投資,勤怠管理システムの更改,老朽化した勤怠管理システムを更改し、法改正対応と工数集計の自動化を実現する,法改正対応、集計工数削減、ヒューマンエラー低減,9800000,2026-06〜2026-09,情報システム、経理,9800000,3000000,29%(3年累計),1400000,3.3,現行の月次集計工数実績と自動化後の削減見積り,,,,,,,,,,,,,,
FIN-2026-004,経理,井上,2026-01-17,通常投資,経費精算システムのクラウド移行,オンプレの経費精算システムをクラウドへ移行し、保守負荷とサーバコストを削減する,保守負荷削減、サーバ費削減、モバイル精算対応,7600000,2026-05〜2026-08,情報システム、人事,7600000,2500000,33%(3年累計),1100000,3.0,現行オンプレ運用コストとクラウド利用料の差分,,,,,,,,,,,,,,
IS-2026-033,情報システム,木村,2026-01-13,通常投資,会議室予約・設備管理システム導入,会議室と貸出設備の予約を一元管理するシステムを導入し、調整工数を削減する,予約調整工数の削減、設備稼働率の可視化,3200000,2026-04〜2026-05,総務,3200000,900000,22%(3年累計),300000,3.6,現行の予約調整に要する工数実測と削減見積り,,,,,,,,,,,,,,
QA-2026-014,品質保証(QA),高橋,2026-01-16,POC,逸脱記録の自動分類AIの実証,逸脱記録を機械学習で自動分類できるか、過去データで実証し、本格導入の可否を見極める,分類工数の削減と分類品質の均一化。成立すれば全QA拠点へ展開余地,3000000,2026-04〜2026-06,情報システム,,,,,,,3,自社の逸脱記録は表記揺れが大きく、既製AIで実用精度が出るか不明。POCで達成精度を実測して確かめる,3,成立時は全拠点展開で年間数千万規模の工数削減見込み,3,2026-06-30,過去1年分の逸脱記録で分類精度85%以上ならGo、下回ればNo-Go,2026-Q3,本格導入で20〜30百万円規模,QA(情報システム支援),,,,
